Link do jogo,Nome do Jogo,Preço com desconto,Desconto aplicado,Avaliação do jogo,Data de Lançamento,Data de Fim da promoção
https://store.steampowered.com/app/1086940/?curator_clanid=4777282&utm_source=SteamDB,Baldur's Gate 3,"R$ 159,99",-20%,95.98%,Aug 2023,in 5 days
https://store.steampowered.com/app/2375550/?curator_clanid=4777282&utm_source=SteamDB,Like a Dragon Gaiden: The Man Who Erased His Name,"R$ 124,50",-50%,93.81%,Nov 2023,
https://store.steampowered.com/app/2441700/?curator_clanid=4777282&utm_source=SteamDB,UNDERDOGS,"R$ 51,61",-42%,92.36%,Jan 2024,
https://store.steampowered.com/app/1668510/?curator_clanid=4777282&utm_source=SteamDB,The Legend of Heroes: Trails from Zero,"R$ 83,99",-30%,92.12%,Sep 2022,
https://store.steampowered.com/app/1668520/?curator_clanid=4777282&utm_source=SteamDB,The Legend of Heroes: Trails to Azure,"R$ 89,99",-25%,91.52%,Mar 2023,
https://store.steampowered.com/app/978780/?curator_clanid=4777282&utm_source=SteamDB,STORY OF SEASONS: Friends of Mineral Town,"R$ 23,49",-75%,90.77%,Jul 2020,
https://store.steampowered.com/app/1668540/?curator_clanid=4777282&utm_source=SteamDB,The Legend of Heroes: Trails into Reverie,"R$ 105,30",-35%,89.29%,Jul 2023,
https://store.steampowered.com/app/1978590/?curator_clanid=4777282&utm_source=SteamDB,Anger Foot,"R$ 51,79",-30%,88.85%,Jul 2024,
https://store.steampowered.com/app/2243710/?curator_clanid=4777282&utm_source=SteamDB,Rune Factory 3 Special,"R$ 55,99",-60%,88.70%,Sep 2023,
https://store.steampowered.com/app/2072450/?curator_clanid=4777282&utm_source=SteamDB,Like a Dragon: Infinite Wealth,"R$ 174,95",-50%,88.63%,Jan 2024,
https://store.steampowered.com/app/1198090/?curator_clanid=4777282&utm_source=SteamDB,The Legend of Heroes: Trails of Cold Steel IV,"R$ 64,80",-60%,88.16%,Apr 2021,
https://store.steampowered.com/app/991270/?curator_clanid=4777282&utm_source=SteamDB,The Legend of Heroes: Trails of Cold Steel III,"R$ 40,50",-75%,87.75%,Mar 2020,
https://store.steampowered.com/app/1410640/?curator_clanid=4777282&utm_source=SteamDB,Syberia: The World Before,"R$ 21,80",-80%,87.16%,Mar 2022,
https://store.steampowered.com/app/2138610/?curator_clanid=4777282&utm_source=SteamDB,The Legend of Heroes: Trails through Daybreak,"R$ 129,60",-20%,87.11%,Mar 2023,
https://store.steampowered.com/app/1934680/?curator_clanid=4777282&utm_source=SteamDB,Age of Mythology: Retold,"R$ 79,99",-20%,86.80%,Sep 2024,
https://store.steampowered.com/app/1085510/?curator_clanid=4777282&utm_source=SteamDB,Garfield Kart - Furious Racing,"R$ 2,79",-93%,85.73%,Nov 2019,
https://store.steampowered.com/app/1580240/?curator_clanid=4777282&utm_source=SteamDB,Rune Factory 4 Special,"R$ 35,99",-70%,83.90%,Dec 2021,
https://store.steampowered.com/app/474210/?curator_clanid=4777282&utm_source=SteamDB,BUTCHER,"R$ 2,99",-85%,82.02%,Oct 2016,
https://store.steampowered.com/app/1392960/?curator_clanid=4777282&utm_source=SteamDB,STORY OF SEASONS: Pioneers of Olive Town,"R$ 55,99",-65%,80.50%,Sep 2021,
https://store.steampowered.com/app/250900/?curator_clanid=4777282&utm_source=SteamDB,The Binding of Isaac: Rebirth,"R$ 13,99",-50%,96.42%,Nov 2014,
https://store.steampowered.com/app/2050650/?curator_clanid=4777282&utm_source=SteamDB,Resident Evil 4,"R$ 84,50",-50%,96.31%,Mar 2023,
https://store.steampowered.com/app/1967430/?curator_clanid=4777282&utm_source=SteamDB,Ghost Trick: Phantom Detective,"R$ 64,50",-50%,94.05%,Jun 2023,
https://store.steampowered.com/app/1190000/?curator_clanid=4777282&utm_source=SteamDB,Car Mechanic Simulator 2021,"R$ 28,11",-62%,93.74%,Aug 2021,
https://store.steampowered.com/app/251290/?curator_clanid=4777282&utm_source=SteamDB,The Legend of Heroes: Trails in the Sky SC,"R$ 45,49",-35%,93.67%,Oct 2015,
https://store.steampowered.com/app/1269640/?curator_clanid=4777282&utm_source=SteamDB,Beacon Pines,"R$ 23,99",-60%,93.55%,Sep 2022,
https://store.steampowered.com/app/2085360/?curator_clanid=4777282&utm_source=SteamDB,Insomnia: Theater in the Head,"R$ 6,46",-26%,92.83%,Dec 2022,
https://store.steampowered.com/app/880950/?curator_clanid=4777282&utm_source=SteamDB,Maitetsu:Pure Station,"R$ 50,14",-66%,92.66%,Sep 2018,
https://store.steampowered.com/app/1177980/?curator_clanid=4777282&utm_source=SteamDB,"Little Kitty, Big City","R$ 51,79",-30%,92.65%,May 2024,
https://store.steampowered.com/app/1235140/?curator_clanid=4777282&utm_source=SteamDB,Yakuza: Like a Dragon,"R$ 49,95",-50%,92.60%,Nov 2020,
https://store.steampowered.com/app/1494810/?curator_clanid=4777282&utm_source=SteamDB,Mortal Sin,"R$ 40,19",-33%,92.21%,Mar 2023,
https://store.steampowered.com/app/2058180/?curator_clanid=4777282&utm_source=SteamDB,Judgment,"R$ 59,98",-70%,92.03%,Sep 2022,
https://store.steampowered.com/app/1675830/?curator_clanid=4777282&utm_source=SteamDB,1000xRESIST,"R$ 47,99",-20%,91.97%,May 2024,
https://store.steampowered.com/app/1361510/?curator_clanid=4777282&utm_source=SteamDB,Teenage Mutant Ninja Turtles: Shredder's Revenge,"R$ 61,74",-35%,91.79%,Jun 2022,
https://store.steampowered.com/app/2302660/?curator_clanid=4777282&utm_source=SteamDB,Homicipher,"R$ 44,99",-10%,91.66%,Nov 2024,
https://store.steampowered.com/app/1876890/?curator_clanid=4777282&utm_source=SteamDB,Wandering Sword,"R$ 62,89",-15%,91.52%,Sep 2023,
https://store.steampowered.com/app/538680/?curator_clanid=4777282&utm_source=SteamDB,The Legend of Heroes: Trails of Cold Steel,"R$ 36,49",-50%,91.49%,Aug 2017,
https://store.steampowered.com/app/2058190/?curator_clanid=4777282&utm_source=SteamDB,Lost Judgment,"R$ 74,70",-70%,91.41%,Sep 2022,
https://store.steampowered.com/app/411830/?curator_clanid=4777282&utm_source=SteamDB,SENRAN KAGURA SHINOVI VERSUS,"R$ 15,19",-60%,91.09%,Jun 2016,
https://store.steampowered.com/app/502800/?curator_clanid=4777282&utm_source=SteamDB,SENRAN KAGURA ESTIVAL VERSUS,"R$ 17,39",-70%,91.08%,Mar 2017,
https://store.steampowered.com/app/384190/?curator_clanid=4777282&utm_source=SteamDB,ABZU,"R$ 9,24",-75%,90.86%,Aug 2016,
https://store.steampowered.com/app/251150/?curator_clanid=4777282&utm_source=SteamDB,The Legend of Heroes: Trails in the Sky,"R$ 18,49",-50%,90.85%,Jul 2014,
https://store.steampowered.com/app/1850570/?curator_clanid=4777282&utm_source=SteamDB,DEATH STRANDING DIRECTOR'S CUT,"R$ 79,50",-50%,90.83%,Mar 2022,
https://store.steampowered.com/app/1697700/?curator_clanid=4777282&utm_source=SteamDB,Who's Lila?,"R$ 12,44",-50%,90.74%,Feb 2022,
https://store.steampowered.com/app/1903620/?curator_clanid=4777282&utm_source=SteamDB,Killer Frequency,"R$ 30,26",-66%,90.52%,Jun 2023,
https://store.steampowered.com/app/1340480/?curator_clanid=4777282&utm_source=SteamDB,The Cosmic Wheel Sisterhood,"R$ 27,49",-50%,90.48%,Aug 2023,
https://store.steampowered.com/app/985890/?curator_clanid=4777282&utm_source=SteamDB,Streets of Rage 4,"R$ 36,98",-60%,90.43%,Apr 2020,
https://store.steampowered.com/app/1249040/?curator_clanid=4777282&utm_source=SteamDB,American Arcadia,"R$ 38,99",-35%,90.22%,Nov 2023,
https://store.steampowered.com/app/1977170/?curator_clanid=4777282&utm_source=SteamDB,Jusant,"R$ 52,49",-40%,90.11%,Oct 2023,
https://store.steampowered.com/app/748490/?curator_clanid=4777282&utm_source=SteamDB,The Legend of Heroes: Trails of Cold Steel II,"R$ 36,49",-50%,89.70%,Feb 2018,
https://store.steampowered.com/app/436670/?curator_clanid=4777282&utm_source=SteamDB,The Legend of Heroes: Trails in the Sky the 3rd,"R$ 41,99",-25%,89.70%,May 2017,
https://store.steampowered.com/app/2441270/?curator_clanid=4777282&utm_source=SteamDB,Kill The Crows,"R$ 10,19",-40%,89.62%,Aug 2023,
https://store.steampowered.com/app/1771980/?curator_clanid=4777282&utm_source=SteamDB,The Operator,"R$ 37,81",-15%,89.62%,Jul 2024,
https://store.steampowered.com/app/622220/?curator_clanid=4777282&utm_source=SteamDB,Fate/EXTELLA LINK,"R$ 28,19",-70%,89.61%,Mar 2019,
https://store.steampowered.com/app/207350/?curator_clanid=4777282&utm_source=SteamDB,Ys Origin,"R$ 9,24",-75%,89.51%,May 2012,
https://store.steampowered.com/app/1875830/?curator_clanid=4777282&utm_source=SteamDB,Shin Megami Tensei V: Vengeance,"R$ 209,93",-30%,89.49%,Jun 2024,
https://store.steampowered.com/app/1592670/?curator_clanid=4777282&utm_source=SteamDB,Soda Crisis,"R$ 13,67",-40%,89.48%,May 2022,
https://store.steampowered.com/app/2296990/?curator_clanid=4777282&utm_source=SteamDB,We Were Here Expeditions: The FriendShip,"R$ 6,89",-50%,89.39%,Sep 2023,
https://store.steampowered.com/app/1491670/?curator_clanid=4777282&utm_source=SteamDB,Venba,"R$ 23,49",-50%,89.37%,Jul 2023,
https://store.steampowered.com/app/1341290/?curator_clanid=4777282&utm_source=SteamDB,We Were Here Forever,"R$ 27,49",-50%,89.30%,May 2022,
https://store.steampowered.com/app/2963550/?curator_clanid=4777282&utm_source=SteamDB,Game Of Fate,"R$ 50,20",-12%,89.15%,Oct 2024,
https://store.steampowered.com/app/482400/?curator_clanid=4777282&utm_source=SteamDB,System Shock,"R$ 79,60",-60%,89.04%,May 2023,
https://store.steampowered.com/app/1356670/?curator_clanid=4777282&utm_source=SteamDB,Sakuna: Of Rice and Ruin,"R$ 37,74",-50%,89.00%,Nov 2020,
